PR #33 | base=main | head=ercot-observatory/01-safe-start-api-foundation | sha=58308e690d972cf6c2cb070da1419449cabc26ba | draft=true | state=OPEN | https://github.com/venku122/ercot-dashboard/pull/33
PR #34 | base=ercot-observatory/01-safe-start-api-foundation | head=ercot-observatory/02-api-product-catalog | sha=0f478d652a1ce03783389fed58168d14df811e08 | draft=true | state=OPEN | https://github.com/venku122/ercot-dashboard/pull/34
PR #35 | base=ercot-observatory/02-api-product-catalog | head=ercot-observatory/03-historical-baseline-contracts | sha=3923bb7b11ba8997ad302d9b8bd6c3b93d3e28db | draft=true | state=OPEN | https://github.com/venku122/ercot-dashboard/pull/35
PR #36 | base=ercot-observatory/03-historical-baseline-contracts | head=ercot-observatory/04-normalized-series-identity | sha=79ad5eddabb6d6d208f0ebed8d9033c760ce49e0 | draft=true | state=OPEN | https://github.com/venku122/ercot-dashboard/pull/36
PR #37 | base=ercot-observatory/04-normalized-series-identity | head=ercot-observatory/05-aggregate-tiles-cache-singleflight | sha=ea50b581d3b6d6c232b5200e3d94d78e645a2d54 | draft=true | state=OPEN | https://github.com/venku122/ercot-dashboard/pull/37
PR #38 | base=ercot-observatory/05-aggregate-tiles-cache-singleflight | head=ercot-observatory/06-frontend-tile-planner | sha=dbf5552fe1c003343041e9854296f9903b0cabc7 | draft=true | state=OPEN | https://github.com/venku122/ercot-dashboard/pull/38
PR #39 | base=ercot-observatory/06-frontend-tile-planner | head=ercot-observatory/07-comparisons-app-reuse | sha=ee09ebdcb8cda369271f110ac8125df887e065fe | draft=true | state=OPEN | https://github.com/venku122/ercot-dashboard/pull/39
PR #40 | base=ercot-observatory/07-comparisons-app-reuse | head=ercot-observatory/08-edge-rollout-observability-perf | sha=5eb190cef6b29c7200e86060f3d4d22e35c9eda6 | draft=true | state=OPEN | https://github.com/venku122/ercot-dashboard/pull/40
PR #41 | base=ercot-observatory/08-edge-rollout-observability-perf | head=ercot-observatory/09-forecast-vintage-storage | sha=6d2c6705a3fdde0a850d61753e6e8e1138cfff31 | draft=true | state=OPEN | https://github.com/venku122/ercot-dashboard/pull/41
PR #42 | base=ercot-observatory/09-forecast-vintage-storage | head=ercot-observatory/10-grid-outlook-ui | sha=ef6a96ceae4e79950f6190e2667c72aafaea9be3 | draft=true | state=OPEN | https://github.com/venku122/ercot-dashboard/pull/42
PR #43 | base=ercot-observatory/10-grid-outlook-ui | head=ercot-observatory/11-forecast-quality | sha=a545cdc0b2e3d169764708e41564720454723728 | draft=true | state=OPEN | https://github.com/venku122/ercot-dashboard/pull/43
PR #44 | base=ercot-observatory/11-forecast-quality | head=ercot-observatory/12-net-load-ramp | sha=7af520e6be219d95b7802bd9f5cbbff7129433de | draft=true | state=OPEN | https://github.com/venku122/ercot-dashboard/pull/44
PR #45 | base=ercot-observatory/12-net-load-ramp | head=ercot-observatory/13-regional-geography | sha=7e60b625b934a027790531b73b069edb69ac5959 | draft=true | state=OPEN | https://github.com/venku122/ercot-dashboard/pull/45
PR #46 | base=ercot-observatory/13-regional-geography | head=ercot-observatory/14-market-mechanics | sha=c6b1ddce4ecd33586333586628af19a7d3eacf40 | draft=true | state=OPEN | https://github.com/venku122/ercot-dashboard/pull/46
PR #47 | base=ercot-observatory/14-market-mechanics | head=ercot-observatory/15-congestion-price-geography | sha=9aa00b88eee63706e3ebab73fd734bd1f646ce37 | draft=true | state=OPEN | https://github.com/venku122/ercot-dashboard/pull/47
PR #48 | base=ercot-observatory/15-congestion-price-geography | head=ercot-observatory/16-storage-operations | sha=0b659cc0b836bdfa15883f83c4a95c876aa65e0c | draft=true | state=OPEN | https://github.com/venku122/ercot-dashboard/pull/48
PR #49 | base=ercot-observatory/16-storage-operations | head=ercot-observatory/17-battery-event-replay | sha=dd6a2f60a62e03f2f4bbaa8f651232a0a56c7b60 | draft=true | state=OPEN | https://github.com/venku122/ercot-dashboard/pull/49
PR #50 | base=ercot-observatory/17-battery-event-replay | head=ercot-observatory/18-predictive-weather | sha=5c5f41fcda86f1f99ebce1a29f37f481e713e0bb | draft=true | state=OPEN | https://github.com/venku122/ercot-dashboard/pull/50
PR #51 | base=ercot-observatory/18-predictive-weather | head=ercot-observatory/19-unified-grid-event-timeline | sha=1e2f67d41a09cdf16b1f8d971d2e9c83a48b6dbc | draft=true | state=OPEN | https://github.com/venku122/ercot-dashboard/pull/51
PR #52 | base=ercot-observatory/19-unified-grid-event-timeline | head=ercot-observatory/20-historical-context-records | sha=5c24f3de703e8ddeaedde2466d241ec506c3d157 | draft=true | state=OPEN | https://github.com/venku122/ercot-dashboard/pull/52
PR #53 | base=ercot-observatory/20-historical-context-records | head=ercot-observatory/21-texas-grid-long-horizon | sha=edc2e07a3c97486c9797b09e42cd7019f1011a00 | draft=true | state=OPEN | https://github.com/venku122/ercot-dashboard/pull/53
PR #54 | base=ercot-observatory/21-texas-grid-long-horizon | head=ercot-observatory/22-external-context-overlays | sha=5fd6727241c51e777ceebe182368b88f5adda52e | draft=true | state=OPEN | https://github.com/venku122/ercot-dashboard/pull/54
PR #55 | base=ercot-observatory/22-external-context-overlays | head=ercot-observatory/23-integrated-hardening-handoff | sha=4b75418af72dee71c3937627c32fb88c50610e90 | draft=true | state=OPEN | https://github.com/venku122/ercot-dashboard/pull/55
